region,accuracy,method
Overall,0.9212654614652712,MDR-FEP
Overall,0.8439581351094196,Cao et al.
Interface Core,0.8500986193293886,MDR-FEP
Interface Core,0.7258382642998028,Cao et al.
Interface Boundary,0.8374816983894583,MDR-FEP
Interface Boundary,0.6295754026354319,Cao et al.
Monomer Core,0.9330900243309003,MDR-FEP
Monomer Core,0.8710462287104623,Cao et al.
Monomer Boundary,0.9097605893186004,MDR-FEP
Monomer Boundary,0.8950276243093923,Cao et al.
Monomer Surface,0.9757428744693754,MDR-FEP
Monomer Surface,0.9387507580351728,Cao et al.
